Trait,Layer,Top_Tokens,Bottom_Tokens
conscientiousness,12,"'сле', '택', 'colle', 'ژ', 'aste'","'/******/', 'anyway', 'like', 'random', 'gonna'"
conscientiousness,13,"'erna', 'сле', '택', 'havet', 'stern'","'/******/', 'anyway', 'gonna', 'randomly', 'like'"
conscientiousness,14,"'сле', 'erna', 'stern', '택', 'havet'","'anyway', '/******/', 'randomly', 'bother', 'pret'"
conscientiousness,15,"'havet', 'сле', 'erna', 'ĉ', '>{@'","'anyway', 'randomly', 'totally', 'random', 'bother'"
conscientiousness,16,"'havet', 'wij', 'ļ', 'besk', 'ĉ'","'anyway', 'randomly', 'Anyway', 'relax', '/******/'"
conscientiousness,17,"'havet', 'unächst', 'clarity', 'vig', 'ensuring'","'randomly', 'anyway', 'bother', 'relax', 'Anyway'"
conscientiousness,18,"'unächst', 'clarity', 'vig', 'accordingly', 'ensuring'","'anyway', 'Anyway', 'randomly', 'ol', 'bother'"
conscientiousness,19,"'carefully', 'ensuring', 'clarity', 'ensure', 'vig'","'anyway', 'dude', 'totally', 'Anyway', 'gonna'"
conscientiousness,20,"'clarity', 'carefully', 'ensuring', 'accordingly', 'ensure'","'gonna', 'dude', 'anyway', 'totally', 'stuff'"
conscientiousness,21,"'clarity', 'ensuring', 'havet', '🟠', '>{@'","'gonna', 'dude', 'wanna', 'ya', 'kinda'"
conscientiousness,22,"'carefully', 'ensuring', '>{@', 'accordingly', 'clarity'","'dude', 'gonna', 'ya', 'wanna', 'anyway'"
conscientiousness,23,"'carefully', 'ensuring', 'clarity', 'ieler', 'accordingly'","'dude', 'gonna', 'kinda', 'stuff', 'weird'"
conscientiousness,24,"'ieler', '🙏', 'accordingly', '>{@', 'carefully'","'gonna', 'kinda', 'dude', 'wanna', 'totally'"
conscientiousness,25,"'uple', '>{@', 'clarity', 'carefully', 'ensuring'","'gonna', 'kinda', 'wanna', 'dude', 'ya'"
conscientiousness,26,"'ensuring', 'carefully', 'accordingly', 'uple', 'ensure'","'gonna', 'ya', 'kinda', 'dude', 'wanna'"
conscientiousness,27,"'ensuring', 'accordingly', 'carefully', 'ensure', 'uple'","'dude', 'gonna', 'ya', 'wanna', 'kinda'"
conscientiousness,28,"'ensuring', 'ensure', 'colleagues', 'accordingly', 'carefully'","'gonna', 'wanna', 'dude', 'kinda', 'ya'"
conscientiousness,29,"'ensuring', 'accordingly', 'ensure', 'ieler', 'colleagues'","'gonna', 'ya', 'wanna', 'dude', 'gotta'"
conscientiousness,30,"'ensuring', 'accordingly', 'prior', 'colleagues', 'carefully'","'gonna', 'wanna', 'dude', 'kinda', 'gotta'"
conscientiousness,31,"'ensuring', 'prior', 'accordingly', 'ensure', 'efforts'","'wanna', 'gonna', 'gotta', 'ya', 'dude'"
extraversion,0,"'edu', 'onces', '/******/', 'rezent', 'reck'","'acco', 'yar', 'sotto', 'bree', 'рак'"
extraversion,1,"'№', 'oji', '�', 'ijo', 'ocz'","'parallel', 'ew', 'arz', 'understand', 'incl'"
extraversion,2,"'nbsp', 'ícula', 'rios', '➤', 'rcu'","'pto', 'ople', 'ieler', 'ahn', 'bother'"
extraversion,3,"'gress', 'ícula', 'aves', 'sucked', 'rcu'","'shy', 'bother', 'arz', 'usual', 'asi'"
extraversion,4,"'/******/', 'рей', 'hopefully', 'otta', '↑'","'shy', 'punct', 'ifiable', 'iar', 'asympt'"
extraversion,5,"'/******/', 'hopefully', '↑', 'practically', '!'","'shy', 'asympt', 'usual', 'arters', '🤔'"
extraversion,6,"'hopefully', '!', ""!'"", '/******/', '!!!'","'ennes', 'inea', 'arters', 'asympt', 'asi'"
extraversion,7,"""!'"", '!(', '!""', '!', 'virtually'","'etto', 'necessarily', 'ities', 'anymore', 'jär'"
extraversion,8,"'!!!', 'delight', '!', 'gorgeous', '!('","'etto', 'shy', 'distance', 'jär', 'ennes'"
extraversion,9,"'!!!', 'delight', 'gorgeous', ""!'"", '!'","'quiet', 'rix', 'matter', 'silence', 'discipline'"
extraversion,10,"'!', '!!!', '!!', 'delight', '!""'","'quiet', '♭', 'matter', 'Dez', 'etto'"
extraversion,11,"'!', '!!', 'delight', '!!!', '!""'","'filer', 'explan', 'jär', 'jek', 'quiet'"
extraversion,12,"'!', 'delight', '!!', '!!!', '?!'","'etto', 'jär', 'filer', 'jek', 'explan'"
extraversion,13,"'!', '!!', 'delight', '!!!', '?!'","'quiet', 'explan', 'nor', 'jär', 'neither'"
extraversion,14,"'!', 'delight', '!!', '!!!', '?!'","'jär', 'explan', 'anymore', 'Ď', 'Dez'"
extraversion,15,"'awesome', '!', 'delight', '!!', '!!!'","'unless', 'quiet', 'explan', 'nor', 'anymore'"
extraversion,16,"'!', '!!', 'delight', '!!!', 'awesome'","'nor', 'anymore', 'unless', 'straightforward', 'explan'"
extraversion,17,"'!', 'delight', '!!', 'awesome', '!!!'","'nor', '≠', 'explan', 'straightforward', 'understand'"
extraversion,18,"'!', '!!', '!!!', '!_', 'awesome'","'nor', 'necessarily', '≠', 'understand', 'anymore'"
extraversion,19,"'!', '!!', '!!!', 'awesome', '!_'","'≠', 'nor', 'Ď', 'Rück', 'Fuß'"
extraversion,20,"'!', '!!', 'awesome', '!!!', '!_'","'≠', 'Ď', 'Rück', 'служ', 'nor'"
extraversion,21,"'!', '!!', 'awesome', '!!!', '!_'","'≠', 'Ď', 'Fuß', 'кло', 'Rück'"
extraversion,22,"'!', '!!', 'awesome', '!!!', '!_'","'Fuß', '≠', 'Ď', 'biologie', 'кло'"
extraversion,23,"'!', 'awesome', '!!', 'hilar', '!!!'","'≠', 'Ď', 'biologie', 'Fuß', 'кло'"
extraversion,24,"'!', '!!', '!!!', 'awesome', 'hilar'","'nor', '≠', 'Ď', 'anymore', 'кло'"
extraversion,25,"'!', '!!', '!!!', '!_', 'awesome'","'≠', 'nor', 'Ď', 'anymore', 'кло'"
extraversion,26,"'!', '!!', 'awesome', '!_', '!!!'","'anymore', '≠', 'nor', '..', 'understand'"
extraversion,27,"'!', '!!', '!)', '!_', 'awesome'","'anymore', 'nor', '≠', 'understand', 'necessarily'"
extraversion,28,"'!', '!!', '!!!', '!)', 'awesome'","'anymore', 'nor', '≠', 'understand', 'myself'"
extraversion,29,"'!', '!!', '!!!', '!)', 'awesome'","'anymore', 'understand', 'necessarily', 'frank', 'myself'"
extraversion,30,"'!!', '!', '!!!', '!(', 'awesome'","'understand', 'necessarily', 'anymore', 'unple', 'frank'"
extraversion,31,"'!!', '!!!', '!(', 'awesome', '!!!!'","'understand', 'anymore', 'necessarily', 'unple', 'generally'"
agreeableness,0,"'convey', 'heavily', 'eping', 'ula', 'depth'","'amment', 'CHAPTER', '巴', 'selves', 'cip'"
agreeableness,1,"'pair', 'ly', 'steep', 'sum', 'spring'","'selves', 'necessarily', 'iteral', 'ified', 'Ê'"
agreeableness,2,"'льта', '贵', 'arrang', 'builtin', 'vess'","'necessarily', 'selves', 'exactly', 'YPE', 'anymore'"
agreeableness,3,"'ņ', 'usz', '麻', 'чин', 'arrang'","'necessarily', 'selves', 'imit', 'special', 'shy'"
agreeableness,4,"'寸', 'ņ', 'få', 'aga', 'ilon'","'necessarily', 'imit', 'vari', 'mainstream', 'amin'"
agreeableness,5,"'aga', 'íl', 'CAL', 'ĕ', 'ٰ'","'necessarily', 'imit', 'unless', 'selves', 'amin'"
agreeableness,6,"'thank', 'ieu', 'Thank', 'reun', 'antic'","'wasted', 'necessarily', 'specialist', 'unless', 'ordinary'"
agreeableness,7,"'aga', 'ouver', 'LC', 'updated', 'ieu'","'necessarily', 'vod', 'waste', 'wasted', 'ordinary'"
agreeableness,8,"'Насе', 'indow', 'appreciated', 'aga', 'feedback'","'necessarily', 'fool', 'anymore', 'waste', 'unless'"
agreeableness,9,"'havet', '*', 'Насе', 'share', 'aga'","'fancy', 'or', 'fool', 'ardi', 'rh'"
agreeableness,10,"'alom', 'havet', 'loor', 'chat', 'eld'","'wasted', 'ardi', 'schemes', 'fancy', 'BS'"
agreeableness,11,"':)', 'hopefully', 'supportive', 'havet', 'Насе'","'wasted', 'pret', '-%', 'unless', 'fancy'"
agreeableness,12,"'hopefully', 'chat', ':)', 'feedback', 'clar'","'unless', 'pret', 'ﬁ', 'clever', 'wasted'"
agreeableness,13,"'hopefully', ':)', 'havet', 'chat', 'clar'","'-%', 'unless', 'pret', 'fancy', 'clever'"
agreeableness,14,"'hopefully', ':)', 'clar', 'havet', 'chat'","'pret', 'fancy', '-%', 'unless', 'wasted'"
agreeableness,15,"'hopefully', 'indeed', ':)', 'chat', 'brave'","'arrog', '-%', 'unless', 'merely', 'pret'"
agreeableness,16,"'hopefully', 'chat', ':)', 'brave', 'indeed'","'pret', 'fancy', 'merely', 'unless', 'fool'"
agreeableness,17,"'hopefully', ':)', 'indeed', 'thank', 'havet'","'fancy', 'pret', 'merely', 'arrog', 'lect'"
agreeableness,18,"'hopefully', ':)', 'indeed', 'thank', 'Thank'","'fool', 'merely', 'nor', 'pret', 'waste'"
agreeableness,19,"'hopefully', ':)', 'Thank', 'thank', 'indeed'","'fool', 'useless', 'schemes', 'arrog', 'waste'"
agreeableness,20,"':)', 'hopefully', 'indeed', 'definitely', 'wonderful'","'fool', 'fucking', 'idiot', 'arrog', 'pret'"
agreeableness,21,"':)', 'hopefully', 'wonderful', 'awesome', 'kennis'","'fool', 'fucking', 'insult', 'idiot', 'arrog'"
agreeableness,22,"':)', 'hopefully', 'wonderful', 'bless', 'kennis'","'fool', 'fucking', 'arrog', 'idiot', 'insult'"
agreeableness,23,"':)', 'hopefully', 'wonderful', 'bless', 'awesome'","'fool', 'fucking', 'arrog', 'inferior', 'insult'"
agreeableness,24,"':)', 'hopefully', 'wonderful', 'indeed', '❤'","'fucking', 'fool', 'idiot', 'arrog', 'piss'"
agreeableness,25,"':)', 'hopefully', 'indeed', 'wonderful', '❤'","'fucking', 'fool', 'arrog', 'insult', 'idiot'"
agreeableness,26,"':)', 'hopefully', 'indeed', '❤', 'bless'","'fool', 'fucking', 'idiot', 'piss', 'arrog'"
agreeableness,27,"':)', 'hopefully', '❤', 'bless', 'indeed'","'fool', 'idiot', 'fucking', 'piss', 'arrog'"
agreeableness,28,"':)', 'hopefully', '❤', 'definitely', 'greatly'","'fucking', 'fool', 'piss', 'idiot', 'damned'"
agreeableness,29,"':)', 'hopefully', 'greatly', '❤', 'indeed'","'fucking', 'idiot', 'piss', 'fool', 'damned'"
agreeableness,30,"':)', 'hopefully', '❤', 'greatly', '😊'","'fucking', 'piss', 'idiot', 'damned', 'bullshit'"
agreeableness,31,"':)', 'hopefully', '❤', 'greatly', '😊'","'fucking', 'piss', 'idiot', 'bullshit', 'bitch'"
neuroticism,0,"'vier', 'ube', 'ppo', 'cha', 'gow'","'berger', 'Object', 'later', 'ango', 'arte'"
neuroticism,1,"'yar', 'ified', 'resse', 'corners', 'zz'","'iba', 'itel', 'hip', 'bara', 'Robin'"
neuroticism,2,"'like', 'exactly', 'ified', 'anymore', 'oya'","'enthus', 'vess', '련', 'ņ', '̂'"
neuroticism,3,"'eny', 'necessarily', 'zz', 'exactly', 'like'","'CAM', 'hopefully', '̂', 'VENDOR', 'ardon'"
neuroticism,4,"'jel', 'zz', 'exactly', 'necessarily', 'frag'","'hopefully', 'ardon', '̂', 'få', 'whoever'"
neuroticism,5,"'necessarily', 'anymore', 'exactly', 'really', 'zel'","'hopefully', 'agre', 'CAL', '̄', 'ĕ'"
neuroticism,6,"'ever', 'olly', 'really', 'pill', 'necessarily'","'hopefully', 'agre', 'ächst', ':)', 'glow'"
neuroticism,7,"'pill', 'ever', 'anymore', 'necessarily', 'really'","'hopefully', 'ächst', ':)', 'agre', 'agr'"
neuroticism,8,"'anymore', 'ever', 'ctor', '?', '--('","'hopefully', 'agre', 'thanks', 'ächst', ':)'"
neuroticism,9,"'--(', 'or', 'ardi', 'hurt', 'really'","'hopefully', 'share', 'share', ':)', 'thanks'"
neuroticism,10,"'ardi', 'alla', 'dern', 'esa', 'suddenly'","'hopefully', ':)', 'thanks', 'glad', 'Cour'"
neuroticism,11,"'anymore', '--(', '?', 'hurt', 'physically'","':)', 'hopefully', 'thanks', 'même', 'fellow'"
neuroticism,12,"'--(', 'anymore', '?”', 'hurt', 'suddenly'","'hopefully', ':)', 'glad', 'fellow', 'thanks'"
neuroticism,13,"'anymore', '--(', '…', 'suddenly', 'hurt'","'hopefully', ':)', 'glad', 'thanks', 'appreciated'"
neuroticism,14,"'suddenly', 'anymore', 'worse', '…', 'bother'","'hopefully', ':)', 'glad', 'thanks', 'clar'"
neuroticism,15,"'anymore', '…', 'suddenly', 'worse', 'somehow'","'hopefully', ':)', 'glad', 'indeed', 'appreciated'"
neuroticism,16,"'worse', 'suddenly', 'anymore', 'Suddenly', '?!'","'hopefully', ':)', 'glad', 'chat', 'appreciated'"
neuroticism,17,"'suddenly', '…', 'anymore', 'worse', 'Suddenly'","'hopefully', ':)', 'glad', 'Glad', 'thanks'"
neuroticism,18,"'…', 'suddenly', '...', 'anymore', 'Suddenly'","'hopefully', ':)', 'glad', 'thanks', 'Glad'"
neuroticism,19,"'suddenly', '…', 'anymore', 'Suddenly', 'worse'","':)', 'hopefully', 'glad', 'Glad', 'thanks'"
neuroticism,20,"'…', 'worse', 'suddenly', 'anymore', '...'","':)', 'hopefully', 'glad', 'kennis', 'Glad'"
neuroticism,21,"'…', 'worse', 'suddenly', '...', 'anymore'","':)', 'hopefully', 'kennis', 'glad', 'Glad'"
neuroticism,22,"'worse', '…', 'anymore', 'suddenly', '...'","':)', 'hopefully', 'kennis', 'glad', 'Glad'"
neuroticism,23,"'worse', 'anymore', '…', 'suddenly', 'bother'","':)', 'hopefully', 'glad', 'kennis', 'indeed'"
neuroticism,24,"'anymore', 'worse', '…', 'suddenly', 'fucking'","':)', 'hopefully', 'indeed', 'glad', 'greatly'"
neuroticism,25,"'…', '...', 'anymore', '...""', 'worse'","':)', 'hopefully', 'indeed', 'fellow', 'glad'"
neuroticism,26,"'…', '...', 'anymore', 'worse', '...""'","'hopefully', ':)', 'indeed', 'glad', 'greatly'"
neuroticism,27,"'…', 'anymore', '...', 'worse', '...""'","':)', 'hopefully', 'glad', 'indeed', 'greatly'"
neuroticism,28,"'fucking', '…', 'worse', '...""', '...'","':)', 'hopefully', 'greatly', 'indeed', 'glad'"
neuroticism,29,"'fucking', 'anymore', '...""', '?""', '?”'","':)', 'hopefully', 'indeed', 'greatly', '🙂'"
neuroticism,30,"'fucking', '?""', '?”', '—""', 'freak'","':)', 'hopefully', 'greatly', '🙂', 'indeed'"
neuroticism,31,"'?""', ""?'"", 'fucking', '?”', '—""'","':)', 'hopefully', '🙂', 'greatly', 'indeed'"
